"time","timeup","contribution","demamd","done","player","stage.stage","stage.step","stage.round","timestamp","session"
1413,"false",1,7,"true","65236875946234",3,2,2,1574667139251,"room000003"
1983,"false",2,19,"true","832527375690871",3,2,2,1574667139825,"room000003"
5042,"false",4,18,"true","796787801361843",3,2,2,1574667142885,"room000003"
29675,"true",12,"NA","true","477751189326490",3,2,2,1574667167886,"room000003"
