"time","timeup","contribution","demamd","done","player","stage.stage","stage.step","stage.round","timestamp","session"
255,"false",19,14,"true","65236875946234",3,2,1,1574667113948,"room000003"
1474,"false",16,7,"true","832527375690871",3,2,1,1574667115160,"room000003"
3487,"false",12,16,"true","796787801361843",3,2,1,1574667117178,"room000003"
8773,"false",12,"NA","true","477751189326490",3,2,1,1574667122823,"room000003"
