"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp","session"
227,"false","true","65236875946234",3,1,1,1574667106996,"room000003"
293,"false","true","832527375690871",3,1,1,1574667107062,"room000003"
1971,"false","true","796787801361843",3,1,1,1574667108741,"room000003"
6673,"false","true","477751189326490",3,1,1,1574667113676,"room000003"
