"time","timeup","contribution","demamd","done","player","stage.stage","stage.step","stage.round","timestamp","session"
4042,"false",3,20,"true","796787801361843",3,2,4,1574667314409,"room000003"
4474,"false",0,4,"true","832527375690871",3,2,4,1574667314833,"room000003"
5398,"false",6,5,"true","65236875946234",3,2,4,1574667315763,"room000003"
15987,"true",12,"NA","true","477751189326490",3,2,4,1574667328343,"room000003"
