"time","timeup","contribution","demamd","done","player","stage.stage","stage.step","stage.round","timestamp","session"
625,"false",6,13,"true","65236875946234",3,2,3,1574667197329,"room000003"
1018,"false",19,4,"true","796787801361843",3,2,3,1574667197721,"room000003"
3855,"false",19,5,"true","832527375690871",3,2,3,1574667200568,"room000003"
15302,"true",12,"NA","true","477751189326490",3,2,3,1574667212352,"room000003"
