"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp","session"
642,"false","true","796787801361843",3,3,3,1574667214033,"room000003"
685,"false","true","65236875946234",3,3,3,1574667214072,"room000003"
1022,"false","true","832527375690871",3,3,3,1574667214409,"room000003"
30992,"true","true","477751189326490",3,3,3,1574667246350,"room000003"
