"time","timeup","contribution","demamd","done","player","stage.stage","stage.step","stage.round","timestamp","session"
288,"false",19,17,"true","305247028630873",3,2,1,1574615514784,"room000002"
2879,"false",1,2,"true","694053194919183",3,2,1,1574615517377,"room000002"
3929,"false",12,"NA","true","89595831252775",3,2,1,1574615518722,"room000002"
5964,"false",19,18,"true","644003110583077",3,2,1,1574615520463,"room000002"
