"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp","session"
38,"false","true","65236875946234",1,1,1,1574667096579,"room000003"
189,"false","true","832527375690871",1,1,1,1574667096726,"room000003"
1896,"false","true","796787801361843",1,1,1,1574667098456,"room000003"
4493,"false","true","477751189326490",1,1,1,1574667101718,"room000003"
