"time","timeup","contribution","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2034,"false",3,"true","89595831252775",3,2,3,1574615535633,"room000002"
3619,"false",15,"true","644003110583077",3,2,3,1574615536971,"room000002"
4801,"false",8,"true","694053194919183",3,2,3,1574615538150,"room000002"
5728,"false",12,"true","305247028630873",3,2,3,1574615539073,"room000002"
